id,experiment_id,fragility_group_id
1,exp1001a,C1011.001d
2,exp1002a,C1011.001d
3,exp1003a,C1011.001d
4,exp1004a,C1011.001d
5,exp1005a,C1011.001d
6,exp1006a,C1011.001d
7,exp1007a,C1011.001d
8,exp1008a,C1011.001d
9,exp1009a,C1011.001d
10,exp1010a,C1011.001d
11,exp1011a,C1011.001d
12,exp1012a,C1011.001d
13,exp1013a,C1011.001d
14,exp1014a,C1011.001d
15,exp1015a,C1011.001d
16,exp1016a,C1011.001d
17,exp1017a,C1011.001d
18,exp1018a,C1011.001d
19,exp1019a,C1011.001d
20,exp1020a,C1011.001d
21,exp2554a,B2022.002
22,exp2555a,B2022.002
23,exp2556a,B2022.002
24,exp2557a,B2022.002
25,exp2558a,B2022.002
26,exp2559a,B2022.002
27,exp2560a,B2022.002
28,exp2561a,B2022.002
29,exp2562a,B2022.002
30,exp2563a,B2022.002
31,exp2564a,B2022.002
32,exp2565a,B2022.002
33,exp2566a,B2022.002
34,exp2567a,B2022.002
35,exp2568a,B2022.002
36,exp2569a,B2022.002
37,exp2570a,B2022.002
38,exp2571a,B2022.002
39,exp2572a,B2022.002
40,exp2573a,B2022.002
41,exp2574a,B2022.002
42,exp2575a,B2022.002
43,exp2576a,B2022.002
44,exp2577a,B2022.002
45,exp2578a,B2022.002
46,exp2579a,B2022.002
47,exp2580a,B2022.002
48,exp2581a,B2022.002
49,exp2582a,B2022.002
50,exp2583a,B2022.002
51,exp2584a,B2022.002
52,exp2585a,B2022.002
53,exp2586a,B2022.002
54,exp2587a,B2022.002
55,exp2588a,B2022.002
56,exp2581b,B2022.002
57,exp2589a,B2022.002
58,exp2590a,B2022.002
59,exp2591a,B2022.002
60,exp2592a,B2022.002
61,exp2593a,B2022.002
62,exp2594a,B2022.002
63,exp2595a,B2022.002
64,exp2596a,B2022.002
65,exp2597a,B2022.002
66,exp2598a,B2022.002
67,exp2599a,B2022.002
68,exp2600a,B2022.002
69,exp2601a,B2022.002
70,exp2602a,B2022.002
71,exp2603a,B2022.002
72,exp2604a,B2022.002
73,exp2605a,B2022.002
74,exp2606a,B2022.002
75,exp2607a,B2022.002
76,exp2608a,B2022.002
77,exp2609a,B2022.002
78,exp2610a,B2022.002
79,exp2611a,B2022.002
80,exp2612a,B2022.002
81,exp2613a,B2022.002
82,exp2614a,B2022.002
83,exp2615a,B2022.002
84,exp2616a,B2022.002
85,exp2617a,B2022.002
86,exp2618a,B2022.002
87,exp2619a,B2022.002
88,exp2620a,B2022.002
89,exp2621a,B2022.002
90,exp2622a,B2022.002
91,exp2623a,B2022.002
92,exp2624a,B2022.002
93,exp2625a,B2022.002
94,exp2626a,B2022.002
95,exp2627a,B2022.002
96,exp2628a,B2022.002
97,exp2629a,B2022.002
98,exp2630a,B2022.002
99,exp2631a,B2022.002
100,exp2632a,B2022.002
101,exp2633a,B2022.002
102,exp2634a,B2022.002
103,exp2635a,B2022.002
104,exp2636a,B2022.002
105,exp2637a,B2022.002
106,exp2638a,B2022.002
107,exp2639a,B2022.002
108,exp2640a,B2022.002
109,exp2641a,B2022.002
110,exp2642a,B2022.002
111,exp2643a,B2022.002
112,exp2644a,B2022.002
113,exp2645a,B2022.002
114,exp2646a,B2022.002
115,exp2647a,B2022.002
116,exp2648a,B2022.002
117,exp2649a,B2022.002
118,exp2650a,B2022.002
119,exp2651a,B2022.002
120,exp2652a,B2022.002
121,exp2653a,B2022.002
122,exp2654a,B2022.002
123,exp2655a,B2022.002
124,exp2656a,B2022.002
125,exp2657a,B2022.002
126,exp2658a,B2022.002
127,exp2659a,B2022.002
128,exp2660a,B2022.002
129,exp2661a,B2022.002
130,exp2662a,B2022.002
131,exp2663a,B2022.002
132,exp2664a,B2022.002
133,exp2665a,B2022.002
134,exp2666a,B2022.002
135,exp2667a,B2022.002
136,exp2668a,B2022.002
137,exp2669a,B2022.002
138,exp2670a,B2022.002
139,exp2671a,B2022.002
140,exp2672a,B2022.002
141,exp2673a,B2022.002
142,exp2674a,B2022.002
143,exp2675a,B2022.002
144,exp2676a,B2022.002
145,exp2677a,B2022.002
146,exp2678a,B2022.002
147,exp2679a,B2022.002
148,exp2680a,B2022.002
149,exp2681a,B2022.002
150,exp2682a,B2022.002
151,exp2683a,B2022.002
152,exp2684a,B2022.002
153,exp2685a,B2022.002
154,exp2686a,B2022.002
155,exp2687a,B2022.002
156,exp2688a,B2022.002
157,exp2689a,B2022.002
158,exp2690a,B2022.002
159,exp2691a,B2022.002
160,exp2692a,B2022.002
161,exp2693a,B2022.002
162,exp2694a,B2022.002
163,exp2695a,B2022.002
164,exp2696a,B2022.002
165,exp2697a,B2022.002
166,exp2698a,B2022.002
167,exp2699a,B2022.002
168,exp2700a,B2022.002
169,exp2701a,B2022.002
170,exp2702a,B2022.002
171,exp2703a,B2022.002
172,exp2704a,B2022.002
173,exp2705a,B2022.002
174,exp2706a,B2022.002
175,exp2707a,B2022.002
176,exp2708a,B2022.002
177,exp2709a,B2022.002
178,exp2710a,B2022.002
179,exp2711a,B2022.002
180,exp2712a,B2022.002
181,exp2713a,B2022.002
182,exp2714a,B2023.002
183,exp2715a,B2023.002
184,exp2716a,B2023.002
185,exp2717a,B2023.002
186,exp2718a,B2023.002
187,exp2719a,B2023.002
188,exp2720a,B2023.002
189,exp2721a,B2023.002
190,exp2722a,B2023.002
191,exp2723a,B2023.002
192,exp2724a,B2023.002
193,exp2725a,B2023.002
194,exp2726a,B2023.002
195,exp2727a,B2023.002
196,exp2728a,B2023.002
197,exp2729a,B2023.002
198,exp2730a,B2023.002
199,exp2731a,B2023.002
200,exp2732a,B2023.002
201,exp2733a,B2023.002
202,exp2734a,B2023.002
203,exp2735a,B2023.002
204,exp2736a,B2023.002
205,exp2737a,B2023.002
206,exp2738a,B2023.002
207,exp2739a,B2023.002
208,exp2740a,B2023.002
209,exp2741a,B2023.002
210,exp2742a,B2023.002
211,exp2743a,B2023.002
212,exp2744a,B2023.002
213,exp2745a,B2023.002
214,exp2746a,B2023.002
215,exp2747a,B2023.002
216,exp2748a,B2023.002
217,exp2749a,B2023.002
218,exp2750a,B2023.002
219,exp2751a,B2023.002
220,exp2752a,B2023.002
221,exp2753a,B2023.002
222,exp2754a,B2023.002
223,exp2755a,B2023.002
224,exp2756a,B2023.002
225,exp2757a,B2023.002
226,exp2758a,B2023.002
227,exp2759a,B2023.002
228,exp2760a,B2023.002
229,exp2761a,B2023.002
230,exp2762a,B2023.002
231,exp2763a,B2023.002
232,exp2764a,B2023.002
233,exp2765a,B2023.002
234,exp2766a,B2023.002
235,exp2767a,B2023.002
236,exp2768a,B2023.002
237,exp2769a,B2023.002
238,exp2770a,B2023.002
239,exp2771a,B2023.002
240,exp2772a,B2023.002
241,exp2773a,B2023.002
242,exp2774a,B2023.002
243,exp2775a,B2023.002
244,exp2776a,B2023.002
245,exp2777a,B2023.002
246,exp2778a,B2023.002
247,exp2779a,B2023.002
248,exp2780a,B2023.002
249,exp2781a,B2023.002
250,exp2782a,B2023.002
251,exp2783a,B2023.002
252,exp2784a,B2023.002
253,exp2785a,B2023.002
254,exp2786a,B2023.002
255,exp2787a,B2023.002
256,exp2788a,B2023.002
257,exp2789a,B2023.002
258,exp2790a,B2023.002
259,exp2791a,B2023.002
260,exp2792a,B2023.002
261,exp2793a,B2023.002
262,exp2794a,B2023.002
263,exp2795a,B2023.002
264,exp2796a,B2023.002
265,exp2797a,B2023.002
266,exp2798a,B2023.002
267,exp2799a,B2023.002
268,exp2800a,B2023.002
269,exp2801a,B2023.002
270,exp2802a,B2023.002
271,exp2803a,B2023.002
272,exp2804a,B2023.002
273,exp2805a,B2023.002
274,exp2806a,B2023.002
275,exp2807a,B2023.002
276,exp2808a,B2023.002
277,exp2809a,B2023.002
278,exp2810a,B2023.002
279,exp2811a,B2023.002
280,exp2812a,B2023.002
281,exp2813a,B2023.002
282,exp2814a,B2023.002
283,exp2815a,B2023.002
284,exp2816a,B2023.002
285,exp2817a,B2023.002
286,exp2818a,B2023.002
287,exp2819a,B2023.002
288,exp2820a,B2023.002
289,exp2821a,B2023.002
290,exp2822a,B2023.002
291,exp2823a,B2023.002
292,exp2824a,B2023.002
293,exp2825a,B2023.002
294,exp2826a,B2023.002
295,exp2827a,B2023.002
296,exp2828a,B2023.002
297,exp2829a,B2023.002
298,exp2830a,B2023.002
299,exp2831a,B2023.002
300,exp2832a,B2023.002
301,exp2833a,B2023.002
302,exp2834a,B2023.002
303,exp2835a,B2023.002
304,exp2836a,B2023.002
305,exp2837a,B2023.002
306,exp2838a,B2022.002
307,exp2839a,B2022.002
308,exp2840a,B2022.002
309,exp2841a,B2022.002
310,exp2842a,B2022.002
311,exp2843a,B2022.002
312,exp2844a,B2022.002
313,exp2845a,B2022.002
314,exp2846a,B2022.002
315,exp2847a,B2022.002
316,exp2848a,B2022.002
317,exp2849a,B2022.002
318,exp2850a,B2022.002
319,exp2851a,B2022.002
320,exp2852a,B2022.002
321,exp2853a,B2022.002
322,exp2854a,B2022.002
323,exp2855a,B2022.002
324,exp2856a,B2022.002
325,exp2857a,B2022.002
326,exp2858a,B2022.002
327,exp2859a,B2022.002
328,exp2860a,B2022.002
329,exp2861a,B2022.002
330,exp2862a,B2022.002
331,exp2863a,B2022.002
332,exp2864a,B2022.001
333,exp2865a,B2022.001
334,exp2866a,B2022.001
335,exp2867a,B2022.001
336,exp2868a,B2022.001
337,exp2869a,B2022.001
338,exp2870a,B2022.001
339,exp2871a,B2022.001
340,exp2872a,B2022.001
341,exp2873a,B2022.001
342,exp2874a,B2022.001
343,exp2875a,B2022.001
344,exp2876a,B2022.001
345,exp2877a,B2022.001
346,exp2878a,B2022.001
347,exp2879a,B2022.001
348,exp2880a,B2022.001
349,exp2881a,B2022.001
350,exp2882a,B2022.001
351,exp2883a,B2022.001
352,exp2884a,B2022.001
353,exp2885a,B2022.001
354,exp2886a,B2022.001
355,exp2887a,B2022.001
356,exp2888a,B2022.001
357,exp2889a,B2022.001
358,exp2890a,B2022.001
359,exp2891a,B2022.001
360,exp2892a,B2022.001
361,exp2893a,B2022.001
362,exp2894a,B2022.001
363,exp2895a,B2022.001
364,exp2896a,B2022.001
365,exp2897a,B2022.001
366,exp2898a,B2022.001
367,exp2899a,B2022.001
368,exp2900a,B2022.001
369,exp2901a,B2022.001
370,exp2902a,B2022.001
371,exp2903a,B2022.001
372,exp2904a,B2022.001
373,exp2905a,B2022.001
374,exp2906a,B2022.001
375,exp2907a,B2022.001
376,exp2908a,B2022.001
377,exp2909a,B2022.001
378,exp2910a,B2022.001
379,exp2911a,B2022.001
380,exp2912a,B2022.001
381,exp2913a,B2022.001
382,exp2914a,B2022.001
383,exp2915a,B2022.002
384,exp2916a,B2022.002
385,exp2917a,B2022.002
386,exp2918a,B2022.002
387,exp2919a,B2022.002
388,exp2920a,B2022.002
389,exp2921a,B2022.002
390,exp2922a,B2022.002
391,exp2923a,B2022.002
392,exp2924a,B2022.002
393,exp2925a,B2022.002
394,exp2926a,B2022.002
395,exp2927a,B2022.002
396,exp2928a,B2022.002
397,exp2929a,B2022.002
398,exp2930a,B2022.002
399,exp2931a,B2022.002
400,exp2932a,B2022.002
401,exp2933a,B2022.001
402,exp2934a,B2022.001
403,exp2935a,B2022.001
404,exp2936a,B2022.001
405,exp2937a,B2022.001
406,exp2938a,B2022.001
407,exp2939a,B2022.001
408,exp2940a,B2022.001
409,exp2941a,B2022.001
410,exp2942a,B2022.001
411,exp2943a,B2022.001
412,exp2944a,B2022.001
413,exp2945a,B2022.001
414,exp2946a,B2022.001
415,exp2947a,B2022.001
416,exp2948a,B2022.001
417,exp2949a,B2022.001
418,exp2950a,B2022.001
419,exp2951a,B2022.001
420,exp2952a,B2022.001
421,exp2953a,B2022.001
422,exp2954a,B2022.001
423,exp2955a,B2022.001
424,exp2956a,B2022.001
425,exp2957a,B2022.001
426,exp2958a,B2022.001
427,exp2959a,B2022.001
428,exp2960a,B2022.001
429,exp2961a,B2022.001
430,exp2962a,B2022.001
431,exp2963a,B2022.001
432,exp2964a,B2022.001
433,exp2965a,B2022.001
434,exp2966a,B2022.001
435,exp2967a,B2022.001
436,exp2968a,B2022.001
437,exp2969a,B2022.001
438,exp2970a,B2022.001
439,exp2971a,B2022.001
440,exp2972a,B2022.001
441,exp2973a,B2022.001
442,exp2974a,B2022.001
443,exp2975a,B2022.001
444,exp2976a,B2022.001
445,exp2977a,B2022.001
446,exp2978a,B2022.001
447,exp2979a,B2022.001
448,exp2980a,B2022.001
449,exp2981a,B2022.001
450,exp2982a,B2022.001
451,exp2983a,B2022.001
452,exp2984a,B2022.001
453,exp2985a,B2022.001
454,exp2986a,B2022.001
455,exp2987a,B2022.001
456,exp2988a,B2022.001
457,exp2989a,B2022.001
458,exp2990a,B2022.001
459,exp2991a,B2022.001
460,exp2992a,B2022.001
461,exp2993a,B2022.001
462,exp2994a,B2022.001
463,exp2995a,B2022.001
464,exp2996a,B2022.001
465,exp2997a,B2022.001
466,exp2998a,B2022.001
467,exp2999a,B2022.001
468,exp3000a,B2022.001
469,exp3001a,B2022.001
470,exp3002a,B2022.001
471,exp3003a,B2022.001
472,exp3004a,B2022.001
473,exp3005a,B2022.001
474,exp3006a,B2022.001
475,exp3007a,B2022.001
476,exp3008a,B2022.001
477,exp3009a,B2022.001
478,exp3010a,B2022.001
479,exp3011a,B2022.001
480,exp3012a,B2022.001
481,exp3013a,B2022.001
482,exp3014a,B2022.001
483,exp3015a,B2022.001
484,exp3016a,B2022.001
485,exp3017a,B2022.001
486,exp3018a,B2022.001
487,exp3019a,B2022.001
488,exp3020a,B2022.001
489,exp3021a,B2022.001
490,exp3022a,B2022.001
491,exp3023a,B2022.001
492,exp3024a,B2022.001
493,exp3025a,B2022.001
494,exp3026a,B2022.001
495,exp3027a,B2022.001
496,exp3028a,B2022.001
497,exp3029a,B2022.001
498,exp3030a,B2022.001
499,exp3031a,B2022.001
500,exp3032a,B2022.001
501,exp3033a,B2022.001
502,exp3034a,B2022.001
503,exp3035a,B2022.001
504,exp3036a,B2022.001
505,exp3037a,B2022.001
506,exp3038a,B2022.001
507,exp3039a,B2022.001
508,exp3040a,B2022.001
509,exp3041a,B2022.001
510,exp3042a,B2022.001
511,exp3043a,B2022.001
512,exp3044a,B2022.001
513,exp3045a,B2022.001
514,exp3046a,B2022.001
515,exp3047a,B2023.001
516,exp3048a,B2023.001
517,exp3049a,B2023.001
518,exp3050a,B2023.001
519,exp3051a,B2023.001
520,exp3052a,B2023.001
521,exp3053a,B2023.001
522,exp3054a,B2023.001
523,exp3055a,B2023.001
524,exp3056a,B2023.001
525,exp3057a,B2023.001
526,exp3058a,B2022.001
527,exp3059a,B2022.001
528,exp3060a,B2022.001
529,exp3061a,B2022.001
530,exp3062a,B2022.001
531,exp3063a,B2022.001
532,exp3064a,B2022.001
533,exp3065a,B2022.001
534,exp3066a,B2022.001
535,exp3067a,B2022.001
536,exp3068a,B2022.001
537,exp3069a,B2022.001
538,exp3070a,B2022.001
539,exp3071a,B2022.001
540,exp3072a,B2022.001
541,exp3073a,B2022.002
542,exp3074a,B2022.002
543,exp3075a,B2022.002
544,exp3076a,B2022.002
545,exp3077a,B2022.002
546,exp3078a,B2022.002
547,exp3079a,B2022.002
548,exp3080a,B2022.002
549,exp3081a,B2022.002
550,exp3082a,B2022.002
551,exp3083a,B2022.002
552,exp3084a,B2022.002
553,exp3085a,B2022.002
554,exp3086a,B2022.002
555,exp3087a,B2022.002
556,exp3088a,B2022.002
557,exp3089a,B2022.002
558,exp3090a,B2022.002
559,exp3091a,B2022.002
560,exp3092a,B2022.002
561,exp3093a,B2022.001
562,exp3094a,B2022.001
563,exp3095a,B2022.001
564,exp3096a,B2022.001
565,exp3097a,B2022.001
566,exp3098a,B2022.001
567,exp3099a,B2022.001
568,exp3100a,B2022.001
569,exp3101a,B2022.001
570,exp3102a,B2022.001
571,exp3103a,B2022.001
572,exp3104a,B2022.001
573,exp3105a,B2022.001
574,exp3106a,B2022.001
575,exp3107a,B2022.002
576,exp3108a,B2022.002
577,exp3109a,B2022.001
578,exp3110a,B2022.001
579,exp3111a,B2022.001
580,exp3112a,B2022.001
581,exp3113a,B2022.001
582,exp3114a,B2022.001
583,exp3115a,B2022.001
584,exp3116a,B2022.001
585,exp3117a,B2023.001
586,exp3118a,B2023.001
587,exp3119a,B2023.001
588,exp3120a,B2023.001
589,exp3121a,B2023.001
590,exp3122a,B2023.001
591,exp3123a,B2023.001
592,exp3124a,B2023.001
593,exp3125a,B2023.001
594,exp3126a,B2023.001
595,exp3127a,B2023.001
596,exp3128a,B2023.001
597,exp3129a,B2023.001
598,exp3130a,B2023.001
599,exp3131a,B2023.001
600,exp3132a,B2023.001
601,exp3133a,B2023.001
602,exp3134a,B2023.001
603,exp3135a,B2023.001
604,exp3136a,B2023.001
605,exp3137a,B2023.001
606,exp3138a,B2023.001
607,exp3139a,B2023.001
608,exp3140a,B2023.001
609,exp3141a,B2023.001
610,exp3142a,B2023.001
611,exp3143a,B2023.001
612,exp3144a,B2023.001
613,exp3145a,B2023.001
614,exp3146a,B2023.001
615,exp3147a,B2023.001
616,exp3148a,B2023.001
617,exp3149a,B2023.001
618,exp3150a,B2023.001
619,exp3151a,B2023.001
620,exp3152a,B2023.001
621,exp3153a,B2023.001
622,exp3154a,B2023.001
623,exp3155a,B2023.001
624,exp3156a,B2023.001
625,exp3157a,B2023.001
626,exp3158a,B2023.001
627,exp3159a,B2023.002
628,exp3160a,B2023.002
629,exp3161a,B2023.002
630,exp3162a,B2023.002
631,exp3163a,B2023.002
632,exp3164a,B2023.002
633,exp3165a,B2023.002
634,exp3166a,B2023.002
635,exp3167a,B2023.002
636,exp3168a,B2023.002
637,exp3169a,B2023.002
638,exp3170a,B2023.002
639,exp3171a,B2023.002
640,exp3172a,B2023.002
641,exp3173a,B2023.002
642,exp3174a,B2023.002
643,exp3175a,B2023.002
644,exp3176a,B2023.002
645,exp3177a,B2023.002
646,exp3178a,B2023.002
647,exp3179a,B2023.002
648,exp3180a,B2023.002
649,exp3181a,B2023.002
650,exp3182a,B2023.002
651,exp3183a,B2023.002
652,exp3184a,B2023.002
653,exp3185a,B2023.002
654,exp3186a,B2023.002
655,exp3187a,B2023.002
656,exp3188a,B2023.002
657,exp3189a,B2023.002
658,exp3190a,B2023.002
659,exp3191a,B2023.002
660,exp3192a,B2023.002
661,exp3193a,B2023.002
662,exp3194a,B2023.002
663,exp3195a,B2023.001
664,exp3196a,B2023.001
665,exp3197a,B2023.001
666,exp3198a,B2023.001
667,exp3199a,B2023.001
668,exp3200a,B2023.001
669,exp3201a,B2023.001
670,exp3202a,B2023.001
671,exp3203a,B2023.001
672,exp3204a,B2023.001
673,exp3205a,B2023.001
674,exp3206a,B2023.001
675,exp3207a,B2023.001
676,exp3208a,B2023.001
677,exp3209a,B2023.001
678,exp3210a,B2023.001
679,exp3211a,B2023.001
680,exp3212a,B2023.001
681,exp3213a,B2023.001
682,exp3214a,B2023.001
683,exp3215a,B2023.001
684,exp3216a,B2023.001
685,exp3217a,B2023.001
686,exp3218a,B2023.001
687,exp3219a,B2023.001
688,exp3220a,B2023.001
689,exp3221a,B2023.001
690,exp3222a,B2023.001
691,exp3223a,B2023.001
692,exp3224a,B2023.001
693,exp3225a,B2023.001
694,exp3226a,B2023.001
695,exp3227a,B2023.001
696,exp3228a,B2022.002
697,exp3229a,B2022.002
698,exp3230a,B2022.002
699,exp3231a,B2022.002
700,exp3232a,B2022.002
701,exp3233a,B2022.002
702,exp3234a,B2022.002
703,exp3235a,B2022.002
704,exp3236a,B2022.002
705,exp3237a,B2022.002
706,exp3238a,B2022.002
707,exp3239a,B2022.002
708,exp3240a,B2022.002
709,exp3241a,B2022.002
710,exp3242a,B2022.002
711,exp3243a,B2022.002
712,exp3244a,B2022.002
713,exp3245a,B2022.002
714,exp3246a,B2022.002
715,exp3247a,B2022.002
716,exp3248a,B2022.002
717,exp3249a,B2022.002
718,exp3250a,B2022.002
719,exp3251a,B2022.002
720,exp3252a,B2022.002
721,exp3253a,B2022.002
722,exp3254a,B2022.002
723,exp3255a,B2022.002
724,exp3256a,B2022.002
725,exp3257a,B2022.002
726,exp3258a,B2022.002
727,exp3259a,B2022.002
728,exp3260a,B2022.002
729,exp3261a,B2022.002
730,exp3262a,B2022.002
731,exp3263a,B2022.002
732,exp3264a,B2022.002
733,exp3265a,B2022.002
734,exp3266a,B2022.002
735,exp3267a,B2022.002
736,exp3268a,B2022.002
737,exp3269a,B2022.002
738,exp3270a,B2022.002
739,exp3271a,B2022.002
740,exp3272a,B2022.002
741,exp3273a,B2022.002
742,exp3274a,B2022.002
743,exp3275a,B2022.002
744,exp3276a,B2022.002
745,exp3277a,B2022.002
746,exp3278a,B2022.002
747,exp3279a,B2022.002
748,exp3280a,B2022.002
749,exp3281a,B2022.002
750,exp3282a,B2022.002
751,exp3283a,B2022.002
752,exp3284a,B2022.002
753,exp3285a,B2022.002
754,exp3286a,B2022.002
755,exp3287a,B2022.002
